Start_Node	End_Node	Travel_Time
564	30210	1.465823
565	5759	0.653146
566	6105	0.436108
566	30087	0.871938
567	6105	0.723438
568	5849	1.354338
568	30087	0.757477
569	26723	0.735462
570	25227	0.573231
571	5849	0.579623
571	5851	0.734608
571	5951	0.905700
572	5951	0.769685
573	30156	0.461746
574	30156	0.501415
575	6169	0.646569
576	6169	0.367962
577	5851	0.625708
578	30141	0.483669
579	26861	0.993069
580	30131	0.918023
581	30140	0.750508
581	30146	0.934546
581	30155	1.328054
582	30155	0.842215
582	30196	0.314885
583	30126	1.336338
584	30089	1.381477
584	30130	0.885877
585	30130	0.992100
586	6896	0.837762
587	30192	0.415615
588	30198	0.196800
589	30089	0.360162
590	7585	0.605515
591	7585	1.220815
592	7764	0.495392
593	40309	0.049777
594	40310	0.292431
595	30283	0.658962
595	30323	0.580408
596	30321	0.182746
597	7581	0.666208
598	7210	0.610892
599	7762	0.285231
600	30289	0.580085
601	30282	0.906138
601	30326	0.664246
602	8068	0.658015
603	8068	1.207154
603	40308	1.328792
604	30559	0.524215
605	30561	1.171223
605	30616	0.615485
606	8622	0.723923
607	8674	1.167069
608	8555	0.593031
609	40308	1.243708
610	8063	0.636462
611	8063	0.582300
612	30349	0.466546
613	30333	0.559015
614	30371	0.525508
615	30367	0.423854
616	30369	0.396000
617	30369	0.371377
618	8550	1.176208
618	30381	1.180869
619	8550	1.154492
620	30596	0.697246
621	30606	0.970477
622	9209	1.294062
622	30532	0.910338
622	30605	1.685400
623	19283	1.080000
623	30650	1.342938
624	30535	1.399200
624	30640	1.746115
625	30639	3.303485
625	30707	3.220362
625	54560	1.866854
626	30648	2.044754
627	30644	0.513069
628	30658	0.626538
629	9209	0.436962
630	30652	0.892292
631	9057	1.074877
631	30586	1.230069
632	40319	0.551077
633	9042	0.841523
633	9057	0.747623
634	30584	0.367223
635	30579	0.558023
635	30582	0.874754
635	54557	1.087408
636	30543	0.521308
636	30569	0.946062
636	54556	0.999092
637	54916	1.145954
638	54916	0.946938
639	30500	2.002131
639	30506	1.114085
640	30495	1.332923
640	30499	2.474123
641	30508	0.746285
641	30510	0.792785
642	30492	1.954223
642	30511	3.519092
643	30495	0.830054
643	30503	0.883985
644	30070	2.623362
644	30498	2.234792
645	29904	1.166238
645	30071	1.328308
646	30360	1.263738
646	30548	1.070815
647	30078	1.019677
647	54918	0.894000
648	30548	0.752469
648	30552	1.032115
649	30329	0.895015
649	30552	0.715615
650	30355	0.562246
650	30380	1.222108
651	30331	0.345438
651	30366	0.991500
652	29906	0.953192
653	30051	0.679315
654	30305	0.602446
655	54952	0.268085
656	54950	0.506654
657	30303	1.129569
657	54939	1.258385
658	30299	0.966254
659	30159	1.121331
659	30184	1.470462
660	54941	0.290608
661	6731	0.981254
662	30126	0.936462
663	30118	1.828546
664	30036	0.652177
665	30035	1.321177
665	30186	1.080508
666	54960	0.296054
667	29991	0.383238
668	30040	0.361223
669	29945	1.220008
669	30035	0.786992
670	40305	0.451892
671	40304	0.302262
672	30016	1.211400
673	54931	2.356823
673	54933	2.300585
674	54932	0.641238
675	29992	1.440531
676	40744	1.884600
677	30016	0.718662
677	30028	1.503138
678	30013	0.485769
678	30023	0.991015
679	29943	0.563238
679	30024	0.857862
680	29943	0.829338
680	54969	0.918277
681	40307	0.829754
682	40306	1.117685
683	40306	1.251738
684	30071	1.573338
684	30074	1.430608
685	30049	1.222269
686	30046	1.856792
687	30061	0.904154
687	54966	0.590238
688	30068	0.860285
689	30070	0.569100
689	54965	0.723762
690	30065	0.583800
691	30060	0.574800
692	30062	0.605123
693	30060	0.600969
694	29937	0.963115
695	29915	2.627077
695	29941	3.893215
696	29916	1.736908
696	30491	3.508592
697	30490	1.459731
697	30510	2.318792
698	29559	1.646100
699	29916	2.282815
699	30483	3.412708
700	29559	2.923708
701	29678	3.353008
701	29942	3.588577
702	29678	2.614246
703	29621	4.585708
704	29621	3.578977
705	29685	1.274215
706	54302	2.467131
707	29686	3.663277
708	29685	3.683492
708	29686	2.384515
709	29497	2.454369
709	30482	3.974862
710	29876	3.980608
711	30477	2.940738
711	30519	2.537585
712	30523	2.648769
713	30477	2.640323
713	30520	2.461546
713	30523	2.939469
714	30521	3.212700
715	30521	1.635600
716	29911	2.005523
716	30545	1.559815
717	29925	1.222177
717	30536	1.293254
718	29925	2.372977
718	30642	2.344638
719	29878	3.109915
719	32481	1.828223
720	29878	0.869562
720	30662	1.314485
721	30642	1.198015
721	30660	2.964923
722	40320	2.828077
723	29888	1.583746
723	30639	3.405162
724	29844	1.041992
725	32520	1.746300
726	51829	1.935969
727	40318	1.321062
727	51526	1.251923
728	51079	3.769062
728	54907	2.123723
729	32533	1.154954
730	32535	2.251131
731	54288	1.542646
732	32449	2.318238
732	32463	1.575162
732	32587	1.994354
733	32452	1.818277
734	40300	1.455462
735	32452	3.337154
735	32462	2.452731
736	32461	4.009523
736	32534	4.948892
737	32473	2.349508
737	40301	3.163062
738	32479	3.145131
739	32477	0.891069
740	40303	0.671077
741	29499	3.323631
741	29507	4.446023
742	29730	0.779377
743	29749	0.502131
744	29749	1.686208
745	29507	4.873200
745	29508	3.952154
746	51232	0.801231
747	51236	0.095354
748	40301	1.932669
749	32559	3.464538
750	40302	3.511246
751	29519	4.348292
752	29519	4.858777
752	29523	6.670754
753	29523	4.193654
754	29502	3.487269
755	34009	2.010438
756	34010	3.481546
756	34012	2.285862
757	29502	2.547669
757	40299	3.082385
758	32559	1.181285
759	32608	1.840708
759	40300	1.733031
760	32573	1.011762
760	32697	0.757523
761	32700	0.532362
762	32602	1.021823
762	32719	1.393292
763	32602	0.661315
764	32582	0.533054
764	32585	0.847615
765	32628	0.618392
765	32633	0.499754
766	32560	0.788423
766	32656	0.578308
767	32723	0.451592
768	32561	0.713538
768	32708	0.541962
769	32619	0.633600
769	32622	0.737838
770	32587	1.422900
770	32621	1.645985
770	54286	1.539531
771	32618	1.249800
772	32683	1.371231
772	54923	1.896300
773	32688	0.658823
773	32707	0.739477
774	29524	1.997031
774	32684	1.160077
775	40299	3.023354
776	34003	1.373446
776	34012	6.693415
777	28315	2.041085
777	28463	2.148577
778	28468	4.058400
778	54622	1.750200
779	28467	3.137169
779	54622	2.510446
780	28271	3.063208
781	28727	2.412508
782	28726	2.764892
782	40621	1.699638
783	40621	0.931454
783	40622	1.490285
784	40624	1.882800
785	28713	1.162454
785	28734	1.218554
786	28732	2.711400
786	28734	2.374223
787	28729	2.995085
787	40620	1.752185
788	40488	1.242231
789	28721	2.387215
789	28753	1.799677
790	28292	3.847015
790	40620	3.755469
790	54621	3.926654
791	28524	1.833023
791	28526	0.719238
792	28758	0.919500
793	28750	0.783369
793	28760	1.191323
794	28742	0.503469
795	40487	0.733892
796	40486	1.378638
797	28708	1.384662
797	28774	0.954485
798	28769	0.875931
799	28771	0.942277
800	28774	0.787615
801	28699	0.649823
802	28698	1.108846
802	28956	0.853962
803	28666	1.855085
803	28694	0.806192
804	28666	2.064715
804	28708	2.098800
805	28822	2.437108
806	28722	1.500231
806	28825	0.931408
806	40486	2.655092
807	28823	0.282162
808	28716	0.548331
809	40490	0.882923
810	28822	2.395223
810	28824	1.785577
811	28701	2.864954
811	28718	2.448000
811	54618	2.311131
812	28701	1.556077
812	29109	1.691123
813	29109	0.779792
814	40430	1.094262
815	18738	0.748062
816	4473	0.560862
816	29110	0.857885
817	40489	1.352838
818	29112	0.678069
818	29122	1.367931
819	29035	0.627323
820	29179	0.405923
821	5002	0.766338
822	29171	0.678162
823	29171	0.580085
824	29190	0.328846
825	29144	0.745038
825	29173	0.694892
826	5415	0.519485
826	29034	0.906900
827	5415	0.547431
828	5915	1.450985
829	5915	0.618000
830	6118	0.366115
831	5633	1.522962
831	34413	1.580769
832	40507	0.850131
833	40507	0.550985
834	5729	0.865823
835	29130	1.154654
836	29164	0.537138
